1,三明治一份有兩個，麵包採用老陳咖啡手工自烘的軟法麵包，上頭還有印上老陳的字樣，雖然小小的，不過兩個吃完其實還蠻飽的，除非你本身食量超大。
2,肉圓這種小吃到處都有，各家口味各有千秋，賣到變老店也不在其數，旱溪樂成宮旁邊有家旱溪肉圓，這家已經是第三代經營，奇奇從很久以前就聽聞旱溪肉圓的美味，身為肉圓控，一定要來嘗試一下。
3, 
4," 台中葡萄酒：https://goo.gl/HgnfuX"""
5,就是這個！就是這個！薯餅起司車輪餅，來的時候老闆剛好在做，哇~看起來就好好吃 ！
6, 
7," 台中葡萄酒：https://goo.gl/HgnfuX"""
8,雖然跟正統的聖誕樹不一樣，但是架高的舞臺邊堆滿著聖誕禮物和彩球，圍繞著毛毛蟲，還是很可愛很聖誕！
9,外觀就是一棟歐式風格的建築，在遠東街還蠻醒目的！這裡不好停車，可以停藝術街附近停車場再走路過來比較方便。
10,踏入店內就聞到一股花香味，抬頭一看這裡有好多乾燥花，這些乾燥花讓整個咖啡小館充滿清香。
11,在大智路上靠近二信的地方，有家四季炸粿蚵嗲，這家很特別，只用一個移動式車庫就做起生意來了，這家蚵嗲奇奇印象中已經開好久囉。
12,這裡的特色是整顆檸檬下去打的喔！乍看之下我還有點擔心，這樣喝起來會不會苦澀的，結果…是我想太多了說。
13,如果恰巧遇到炸雞起鍋，不怕燙的當然現炸現吃最美味。但是它家炸雞放冷了一樣好吃喔，裹粉酥脆不厚，肉質也很鮮甜！
14,假日清水沙鹿這樣玩~
15,好像藝術品都捨不得吃了~~
16,這次走的是商務風，簡約俐落的裝潢隨處可見插頭，大桌面適合擺上電腦洽公，二樓長桌感覺像是到了圖書館，還有會議室提供投影機與布幕。
17,穿過巷子只看到大片的停車場，瞄了一眼還是沒發現【August】的身影，真的有夠低調的....
18,好像到今天就沒囉~
19,台中肉蛋吐司！你喜歡哪一間呢？
20,冰火不只是菠蘿麵包有，連鬆餅也有冰火鬆餅油，只有這款冰火恰恰有分大小唷，小的是對半切40元，大的是一整塊70元，價格算是裡面高單價的。
21,料還不少，口味還OK，應該是有為了台灣人調整口味吧？只是我覺得湯頭再濃郁一點會比較像在之前韓國吃到的味道。
22,環中夜市等等就開幕了！你會去嗎？
23,這間甜點店有人吃過嗎？
24,"環境我很喜歡，擺設很有美感，讓我拍超多相片的，而且一進門看到的""蒔嚐""店名加上拼貼木牆邊框，底下乾燥花點綴，整個就很適合IG拍照點。"
25,黃麵加上白蘿蔔／竹筍／大貢丸／豬血／油豆腐和三角圓等豐富配料，超大碗的呈現在眼前，我根本就沒有看到黃麵...都在底下...
26,餅皮酥脆，撒上些許胡椒粉的味道超誘人！！包得非常紮實，咬下去的口感令人相當滿足。
27,哇！就是明天！環中夜市要開囉！
28,金黃酥脆的銀絲捲加上融化棉花糖，這牽絲的畫面看起來好誘人 口味也很創新，淡淡黑糖香加上甜蜜纏綿的棉花糖，真是最棒的飯後甜點，深夜會餓別亂看....
29,最新的逢甲夜市54間攻略來囉！你吃過幾間呢？
30,夏天吃紅豆冰、冬天喝紅豆湯，甜蜜暖心，分享給眾家姊妹，還有貼心的男友們囉！
31,紅通通的腿骨肉，染上辛香料的顏色，以印度瑪莎拉香料等多種香料醃製，滋味濃厚，略帶優格的酸甜，晚上看的肚子好餓~
32,少女心大爆發！沒想到配電影的吉拿棒也可以變成一款美美的甜點，兩個細長的圓弧狀，疊在一起剛好變成一個愛心！
33,台中市又多了一個好拍好玩的免費新景點，圖龍3D幻視藝術展，11/19~12/4在新光三越10F展出！
34,哇~今年的中友誠品舊書拍賣會又來囉！要挖寶要趁早~
35,比較特別的是，師傅在廚房內除了煮麵、裝碗，還要在石板上炙烤叉燒肉片，一次要烤數十片那麼多，畢竟一碗需要兩片，加上生意好排隊，所以幾乎手沒停過，
36,有所聞，中85、南金?…若真是這樣，把卡啡那、多那之擺哪？
37,位置實在不太好找，有興趣過來的話就可能要多花點時間找找光復街在哪裡了，如果你是很在意環境乾淨整齊的人就不建議你來這邊了。
38,白色和黃色為主色調的外觀加上大空間，十分引人注目，總共有2層營業樓面。
39,一到南門香烤肉，發現老闆已經不停的一直烤，如果要現場吃的話，真的要非常有耐心等待喔，我們真的是差不多等了一個小時才吃到....
40,再過一段時間就是聖誕節囉！想找吃聖誕大餐的地方嗎？可以做下功課唷！
41,哇！是抹茶紅豆胖~~~
42,手工大湯包沒有我想像中的大顆，我原本以為是像包子那樣的大，但不是，端上桌的時候其中一顆已經破了，不~~~
43,喜歡吃抹茶嗎？那又怎能錯過他呢？
44,天冷吃拉麵，通通百元內。
45,這家評價好像也不錯耶！
46,即將推出第三篇！而您有什麼最想知道的旅遊方式嗎？
47,逢甲公園邊歐絢唯兒親子友善餐廳的加入，讓台中父母多了更多的選擇！！
48,好豪邁的蔥花麵包啊！
49, 
50," 營業到凌晨兩點：http://taiwan17go.com/gt2015bbq/"""
51,這家古早味?無名麵攤！你吃過了嗎？
52,又準備要排隊了....
53,這麼大一個，只差沒有拿起來和臉比比看。真的只有110元，雞排去骨好了，而且底下還有鐵板麵，和一顆蛋。好便宜啊！
54,"整尾宜蘭海釣透抽（捕撈過程中不容易傷害到表皮,保持鮮甜滋味！）經過高溫碳烤後上桌，真的很香，且不會有海鮮的腥味。"
55,台中新的IG打卡熱點！超適合外拍的啦！
56,台中新的IG打卡熱點！超適合外拍的啦！
57,這是擠擠目前吃過最濃郁的蝦蝦拉麵了，他的蝦味濃郁到光喝湯就知道一定是用超級多蝦子去熬煮而成，湯的顏色也呈現出橘紅色～光聞就聞到好濃郁啦～
58,本來以為對這邊不熟還怕找不到，但我想這排隊的人潮應該讓人輕鬆就找到了，還好這邊也好停車，讓我可以安心地享受早餐的美好。
59,那外皮脆口的程度，在嘴裡卡茲、卡茲作響，雖然厚度不厚，但內層紮實帶軟，吃起來不會硬脆。
60,要小心的是裡面的湯汁，非常多！建議一定要加辣醬，是真的會辣唷！
61,鹹酥鴨好像是比較多人推的？
62,瞧瞧這蛋塔的個頭高度，應該算是蛋塔界的姚明？不要覺得一個吃不夠，克莉斯塔的蛋塔個頭不小喔！
63,他們家位於大墩11街林新醫院旁，店名很大器「仙鄉麵館」四字
64," 而且不用到店內，就可以知道他們店內賣多少東西，因為都打在門口了~哈哈。"""
65,價位非常平價，真的是造福我們小資族啊！
66,登登~今日的招牌水晶蛋冰淇淋，裡面的料一樣滿滿滿，下面是山粉圓清冰！
67,這裡最多人推排骨酥麵，來清水不一定要吃米糕，吃碗排骨酥麵也很讚！
68,清水傳奇飲料店來囉！
69,買二球便宜5元，當然就是要買二球，不但享便宜還可以多吃到一種口味，另一款總店限定版是仙草凍，不過直到現在都還沒有吃過。
70,灸烤到表面些許焦色的叉燒半沈在還沒攪散的辣油裡，誘人糖心蛋露出黃澄澄的內餡，酥脆的炸海苔、蒜末、豆芽、木耳和青?，無一不和這碗把人辣到地獄又從地獄把人辣回人間的拉麵超級搭！
71,草蝦薑母鴨，草蝦有9隻，都很大隻新鮮。
72,來自於日本奈良的和?子屋來台灣囉！而且是選在台中唷！不用飛日本也吃得到了。
73,這鴨胸肉有夠多，半隻鴨有了吧，不愧是店家的肉滿系列咖哩，鴨胸肉是現烤現切，需要20分的製作時間，雖然等待時間長，不過吃了之後就會覺得值得。
